ID,Date,Price_alum,Price_gold,Price_nickel,Price_silver,Price_uran,Inflation_rate,Price_alum_infl,Price_gold_infl,Price_nickel_infl,Price_silver_infl,Price_uran_infl
1,01 February 1992,1266.83,353.91,7861.9,4.15,7.9,89.5,2401.782997,670.977969,14905.37621,7.867985,14.97761
2,02 February 1992,1267.300345,353.58,7846.582759,4.14862069,7.894827586,89.5,2402.674724,670.352322,14876.33625,7.865369966,14.96780362
3,03 February 1992,1267.77069,353.25,7831.265517,4.147241379,7.889655172,89.5,2403.566451,669.726675,14847.29629,7.862754931,14.95799724
4,04 February 1992,1268.241034,352.92,7815.948276,4.145862069,7.884482759,89.5,2404.458177,669.101028,14818.25634,7.860139897,14.94819086
5,05 February 1992,1268.711379,352.59,7800.631034,4.144482759,7.879310345,89.5,2405.349904,668.475381,14789.21638,7.857524862,14.93838448
6,06 February 1992,1269.181724,352.26,7785.313793,4.143103448,7.874137931,89.5,2406.241631,667.849734,14760.17642,7.854909828,14.9285781
7,07 February 1992,1269.652069,351.93,7769.996552,4.141724138,7.868965517,89.5,2407.133358,667.224087,14731.13646,7.852294793,14.91877172
8,08 February 1992,1270.122414,351.6,7754.67931,4.140344828,7.863793103,89.5,2408.025084,666.59844,14702.0965,7.849679759,14.90896534
9,09 February 1992,1270.592759,351.27,7739.362069,4.138965517,7.85862069,89.5,2408.916811,665.972793,14673.05655,7.847064724,14.89915897
10,10 February 1992,1271.063103,350.94,7724.044828,4.137586207,7.853448276,89.5,2409.808538,665.347146,14644.01659,7.84444969,14.88935259
11,11 February 1992,1271.533448,350.61,7708.727586,4.136206897,7.848275862,89.5,2410.700265,664.721499,14614.97663,7.841834655,14.87954621
12,12 February 1992,1272.003793,350.28,7693.410345,4.134827586,7.843103448,89.5,2411.591991,664.095852,14585.93667,7.839219621,14.86973983
13,13 February 1992,1272.474138,349.95,7678.093103,4.133448276,7.837931034,89.5,2412.483718,663.470205,14556.89671,7.836604586,14.85993345
14,14 February 1992,1272.944483,349.62,7662.775862,4.132068966,7.832758621,89.5,2413.375445,662.844558,14527.85676,7.833989552,14.85012707
15,15 February 1992,1273.414828,349.29,7647.458621,4.130689655,7.827586207,89.5,2414.267172,662.218911,14498.8168,7.831374517,14.84032069
16,16 February 1992,1273.885172,348.96,7632.141379,4.129310345,7.822413793,89.5,2415.158898,661.593264,14469.77684,7.828759483,14.83051431
17,17 February 1992,1274.355517,348.63,7616.824138,4.127931034,7.817241379,89.5,2416.050625,660.967617,14440.73688,7.826144448,14.82070793
18,18 February 1992,1274.825862,348.3,7601.506897,4.126551724,7.812068966,89.5,2416.942352,660.34197,14411.69693,7.823529414,14.81090155
19,19 February 1992,1275.296207,347.97,7586.189655,4.125172414,7.806896552,89.5,2417.834079,659.716323,14382.65697,7.820914379,14.80109517
20,20 February 1992,1275.766552,347.64,7570.872414,4.123793103,7.801724138,89.5,2418.725805,659.090676,14353.61701,7.818299345,14.79128879
21,21 February 1992,1276.236897,347.31,7555.555172,4.122413793,7.796551724,89.5,2419.617532,658.465029,14324.57705,7.81568431,14.78148241
22,22 February 1992,1276.707241,346.98,7540.237931,4.121034483,7.79137931,89.5,2420.509259,657.839382,14295.53709,7.813069276,14.77167603
23,23 February 1992,1277.177586,346.65,7524.92069,4.119655172,7.786206897,89.5,2421.400986,657.213735,14266.49714,7.810454241,14.76186966
24,24 February 1992,1277.647931,346.32,7509.603448,4.118275862,7.781034483,89.5,2422.292712,656.588088,14237.45718,7.807839207,14.75206328
25,25 February 1992,1278.118276,345.99,7494.286207,4.116896552,7.775862069,89.5,2423.184439,655.962441,14208.41722,7.805224172,14.7422569
26,26 February 1992,1278.588621,345.66,7478.968966,4.115517241,7.770689655,89.5,2424.076166,655.336794,14179.37726,7.802609138,14.73245052
27,27 February 1992,1279.058966,345.33,7463.651724,4.114137931,7.765517241,89.5,2424.967893,654.711147,14150.3373,7.799994103,14.72264414
28,28 February 1992,1279.52931,345,7448.334483,4.112758621,7.760344828,89.5,2425.859619,654.0855,14121.29735,7.797379069,14.71283776
29,29 February 1992,1279.999655,344.67,7433.017241,4.11137931,7.755172414,89.5,2426.751346,653.459853,14092.25739,7.794764034,14.70303138
30,01 March 1992,1280.47,344.34,7417.7,4.11,7.75,89.5,2427.643073,652.834206,14063.21743,7.792149,14.693225
31,02 March 1992,1281.65,344.1554839,7417.793548,4.108064516,7.75,89.5,2429.880235,652.4843819,14063.39479,7.788479516,14.693225
32,03 March 1992,1282.83,343.9709677,7417.887097,4.106129032,7.75,89.5,2432.117397,652.1345577,14063.57215,7.784810032,14.693225
33,04 March 1992,1284.01,343.7864516,7417.980645,4.104193548,7.75,89.5,2434.354559,651.7847336,14063.74951,7.781140548,14.693225
34,05 March 1992,1285.19,343.6019355,7418.074194,4.102258065,7.75,89.5,2436.591721,651.4349095,14063.92686,7.777471065,14.693225
35,06 March 1992,1286.37,343.4174194,7418.167742,4.100322581,7.75,89.5,2438.828883,651.0850854,14064.10422,7.773801581,14.693225
36,07 March 1992,1287.55,343.2329032,7418.26129,4.098387097,7.75,89.5,2441.066045,650.7352612,14064.28158,7.770132097,14.693225
37,08 March 1992,1288.73,343.0483871,7418.354839,4.096451613,7.75,89.5,2443.303207,650.3854371,14064.45894,7.766462613,14.693225
38,09 March 1992,1289.91,342.863871,7418.448387,4.094516129,7.75,89.5,2445.540369,650.035613,14064.6363,7.762793129,14.693225
39,10 March 1992,1291.09,342.6793548,7418.541935,4.092580645,7.75,89.5,2447.777531,649.6857888,14064.81366,7.759123645,14.693225
40,11 March 1992,1292.27,342.4948387,7418.635484,4.090645161,7.75,89.5,2450.014693,649.3359647,14064.99101,7.755454161,14.693225
41,12 March 1992,1293.45,342.3103226,7418.729032,4.088709677,7.75,89.5,2452.251855,648.9861406,14065.16837,7.751784677,14.693225
42,13 March 1992,1294.63,342.1258065,7418.822581,4.086774194,7.75,89.5,2454.489017,648.6363165,14065.34573,7.748115194,14.693225
43,14 March 1992,1295.81,341.9412903,7418.916129,4.08483871,7.75,89.5,2456.726179,648.2864923,14065.52309,7.74444571,14.693225
44,15 March 1992,1296.99,341.7567742,7419.009677,4.082903226,7.75,89.5,2458.963341,647.9366682,14065.70045,7.740776226,14.693225
45,16 March 1992,1298.17,341.5722581,7419.103226,4.080967742,7.75,89.5,2461.200503,647.5868441,14065.87781,7.737106742,14.693225
46,17 March 1992,1299.35,341.3877419,7419.196774,4.079032258,7.75,89.5,2463.437665,647.2370199,14066.05516,7.733437258,14.693225
47,18 March 1992,1300.53,341.2032258,7419.290323,4.077096774,7.75,89.5,2465.674827,646.8871958,14066.23252,7.729767774,14.693225
48,19 March 1992,1301.71,341.0187097,7419.383871,4.07516129,7.75,89.5,2467.911989,646.5373717,14066.40988,7.72609829,14.693225
49,20 March 1992,1302.89,340.8341935,7419.477419,4.073225806,7.75,89.5,2470.149151,646.1875475,14066.58724,7.722428806,14.693225
50,21 March 1992,1304.07,340.6496774,7419.570968,4.071290323,7.75,89.5,2472.386313,645.8377234,14066.7646,7.718759323,14.693225
51,22 March 1992,1305.25,340.4651613,7419.664516,4.069354839,7.75,89.5,2474.623475,645.4878993,14066.94196,7.715089839,14.693225
52,23 March 1992,1306.43,340.2806452,7419.758065,4.067419355,7.75,89.5,2476.860637,645.1380752,14067.11931,7.711420355,14.693225
53,24 March 1992,1307.61,340.096129,7419.851613,4.065483871,7.75,89.5,2479.097799,644.788251,14067.29667,7.707750871,14.693225
54,25 March 1992,1308.79,339.9116129,7419.945161,4.063548387,7.75,89.5,2481.334961,644.4384269,14067.47403,7.704081387,14.693225
55,26 March 1992,1309.97,339.7270968,7420.03871,4.061612903,7.75,89.5,2483.572123,644.0886028,14067.65139,7.700411903,14.693225
56,27 March 1992,1311.15,339.5425806,7420.132258,4.059677419,7.75,89.5,2485.809285,643.7387786,14067.82875,7.696742419,14.693225
57,28 March 1992,1312.33,339.3580645,7420.225806,4.057741935,7.75,89.5,2488.046447,643.3889545,14068.00611,7.693072935,14.693225
58,29 March 1992,1313.51,339.1735484,7420.319355,4.055806452,7.75,89.5,2490.283609,643.0391304,14068.18346,7.689403452,14.693225
59,30 March 1992,1314.69,338.9890323,7420.412903,4.053870968,7.75,89.5,2492.520771,642.6893063,14068.36082,7.685733968,14.693225
60,31 March 1992,1315.87,338.8045161,7420.506452,4.051935484,7.75,89.5,2494.757933,642.3394821,14068.53818,7.682064484,14.693225
61,01 April 1992,1317.05,338.62,7420.6,4.05,7.75,89.5,2496.995095,641.989658,14068.71554,7.678395,14.693225
62,02 April 1992,1316.708,338.574,7417.473333,4.050666667,7.743333333,89.5,2496.346697,641.9024466,14062.78769,7.679658933,14.68058567
63,03 April 1992,1316.366,338.528,7414.346667,4.051333333,7.736666667,89.5,2495.698299,641.8152352,14056.85985,7.680922867,14.66794633
64,04 April 1992,1316.024,338.482,7411.22,4.052,7.73,89.5,2495.049902,641.7280238,14050.932,7.6821868,14.655307
65,05 April 1992,1315.682,338.436,7408.093333,4.052666667,7.723333333,89.5,2494.401504,641.6408124,14045.00415,7.683450733,14.64266767
66,06 April 1992,1315.34,338.39,7404.966667,4.053333333,7.716666667,89.5,2493.753106,641.553601,14039.0763,7.684714667,14.63002833
67,07 April 1992,1314.998,338.344,7401.84,4.054,7.71,89.5,2493.104708,641.4663896,14033.14846,7.6859786,14.617389
68,08 April 1992,1314.656,338.298,7398.713333,4.054666667,7.703333333,89.5,2492.45631,641.3791782,14027.22061,7.687242533,14.60474967
69,09 April 1992,1314.314,338.252,7395.586667,4.055333333,7.696666667,89.5,2491.807913,641.2919668,14021.29276,7.688506467,14.59211033
70,10 April 1992,1313.972,338.206,7392.46,4.056,7.69,89.5,2491.159515,641.2047554,14015.36491,7.6897704,14.579471
71,11 April 1992,1313.63,338.16,7389.333333,4.056666667,7.683333333,89.5,2490.511117,641.117544,14009.43707,7.691034333,14.56683167
72,12 April 1992,1313.288,338.114,7386.206667,4.057333333,7.676666667,89.5,2489.862719,641.0303326,14003.50922,7.692298267,14.55419233
73,13 April 1992,1312.946,338.068,7383.08,4.058,7.67,89.5,2489.214321,640.9431212,13997.58137,7.6935622,14.541553
74,14 April 1992,1312.604,338.022,7379.953333,4.058666667,7.663333333,89.5,2488.565924,640.8559098,13991.65352,7.694826133,14.52891367
75,15 April 1992,1312.262,337.976,7376.826667,4.059333333,7.656666667,89.5,2487.917526,640.7686984,13985.72568,7.696090067,14.51627433
76,16 April 1992,1311.92,337.93,7373.7,4.06,7.65,89.5,2487.269128,640.681487,13979.79783,7.697354,14.503635
77,17 April 1992,1311.578,337.884,7370.573333,4.060666667,7.643333333,89.5,2486.62073,640.5942756,13973.86998,7.698617933,14.49099567
78,18 April 1992,1311.236,337.838,7367.446667,4.061333333,7.636666667,89.5,2485.972332,640.5070642,13967.94214,7.699881867,14.47835633
79,19 April 1992,1310.894,337.792,7364.32,4.062,7.63,89.5,2485.323935,640.4198528,13962.01429,7.7011458,14.465717
80,20 April 1992,1310.552,337.746,7361.193333,4.062666667,7.623333333,89.5,2484.675537,640.3326414,13956.08644,7.702409733,14.45307767
81,21 April 1992,1310.21,337.7,7358.066667,4.063333333,7.616666667,89.5,2484.027139,640.24543,13950.15859,7.703673667,14.44043833
82,22 April 1992,1309.868,337.654,7354.94,4.064,7.61,89.5,2483.378741,640.1582186,13944.23075,7.7049376,14.427799
83,23 April 1992,1309.526,337.608,7351.813333,4.064666667,7.603333333,89.5,2482.730343,640.0710072,13938.3029,7.706201533,14.41515967
84,24 April 1992,1309.184,337.562,7348.686667,4.065333333,7.596666667,89.5,2482.081946,639.9837958,13932.37505,7.707465467,14.40252033
85,25 April 1992,1308.842,337.516,7345.56,4.066,7.59,89.5,2481.433548,639.8965844,13926.4472,7.7087294,14.389881
86,26 April 1992,1308.5,337.47,7342.433333,4.066666667,7.583333333,89.5,2480.78515,639.809373,13920.51936,7.709993333,14.37724167
87,27 April 1992,1308.158,337.424,7339.306667,4.067333333,7.576666667,89.5,2480.136752,639.7221616,13914.59151,7.711257267,14.36460233
88,28 April 1992,1307.816,337.378,7336.18,4.068,7.57,89.5,2479.488354,639.6349502,13908.66366,7.7125212,14.351963
89,29 April 1992,1307.474,337.332,7333.053333,4.068666667,7.563333333,89.5,2478.839957,639.5477388,13902.73581,7.713785133,14.33932367
90,30 April 1992,1307.132,337.286,7329.926667,4.069333333,7.556666667,89.5,2478.191559,639.4605274,13896.80797,7.715049067,14.32668433
91,01 May 1992,1306.79,337.24,7326.8,4.07,7.55,89.5,2477.543161,639.373316,13890.88012,7.716313,14.314045
92,02 May 1992,1305.782258,337.3551613,7322.477419,4.069677419,7.556451613,89.5,2475.632583,639.5916503,13882.68494,7.715701419,14.32627661
93,03 May 1992,1304.774516,337.4703226,7318.154839,4.069354839,7.562903226,89.5,2473.722005,639.8099846,13874.48976,7.715089839,14.33850823
94,04 May 1992,1303.766774,337.5854839,7313.832258,4.069032258,7.569354839,89.5,2471.811427,640.0283189,13866.29458,7.714478258,14.35073984
95,05 May 1992,1302.759032,337.7006452,7309.509677,4.068709677,7.575806452,89.5,2469.900849,640.2466532,13858.0994,7.713866677,14.36297145
96,06 May 1992,1301.75129,337.8158065,7305.187097,4.068387097,7.582258065,89.5,2467.990271,640.4649875,13849.90422,7.713255097,14.37520306
97,07 May 1992,1300.743548,337.9309677,7300.864516,4.068064516,7.588709677,89.5,2466.079693,640.6833217,13841.70904,7.712643516,14.38743468
98,08 May 1992,1299.735806,338.046129,7296.541935,4.067741935,7.59516129,89.5,2464.169115,640.901656,13833.51386,7.712031935,14.39966629
99,09 May 1992,1298.728065,338.1612903,7292.219355,4.067419355,7.601612903,89.5,2462.258538,641.1199903,13825.31867,7.711420355,14.4118979
100,10 May 1992,1297.720323,338.2764516,7287.896774,4.067096774,7.608064516,89.5,2460.34796,641.3383246,13817.12349,7.710808774,14.42412952
101,11 May 1992,1296.712581,338.3916129,7283.574194,4.066774194,7.614516129,89.5,2458.437382,641.5566589,13808.92831,7.710197194,14.43636113
102,12 May 1992,1295.704839,338.5067742,7279.251613,4.066451613,7.620967742,89.5,2456.526804,641.7749932,13800.73313,7.709585613,14.44859274
